Date,Query,Source,Neutral Sentiment,Negative Sentiment,Positive Sentiment,Total Mentions,Day Mentions,Hour Mentions,Gender_Male,Gender_Female
2018-05-03,"(""planned parenthood"") AND (province:mi)",twitter,91.35,5.77,2.88,104,104,4,60,40
2018-05-03,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-03,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-03,"(""planned parenthood"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-04,"(""planned parenthood"") AND (province:mi)",twitter,88.24,8.4,3.36,119,119,5,56.1,43.9
2018-05-04,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-04,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-04,"(""planned parenthood"") AND (province:mi)",news,100,0,0,6,6,0,0,0
2018-05-05,"(""planned parenthood"") AND (province:mi)",twitter,81.25,15,3.75,80,80,3,68.09,31.91
2018-05-05,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-05,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-05,"(""planned parenthood"") AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-05-06,"(""planned parenthood"") AND (province:mi)",twitter,85.36,10.98,3.66,82,82,3,68,32
2018-05-06,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-06,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-06,"(""planned parenthood"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-07,"(""planned parenthood"") AND (province:mi)",twitter,78.7,7.41,13.89,108,108,5,59.42,40.58
2018-05-07,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-07,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-07,"(""planned parenthood"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-08,"(""planned parenthood"") AND (province:mi)",twitter,86.17,10.06,3.77,159,159,7,51.61,48.39
2018-05-08,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-08,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-08,"(""planned parenthood"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-09,"(""planned parenthood"") AND (province:mi)",twitter,73.33,17.78,8.89,90,90,4,50,50
2018-05-09,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-09,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-09,"(""planned parenthood"") AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-05-10,"(""planned parenthood"") AND (province:mi)",twitter,92.12,7.2,0.68,736,736,31,30.75,69.25
2018-05-10,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-10,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-10,"(""planned parenthood"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-11,"(""planned parenthood"") AND (province:mi)",twitter,93.15,6.85,0,248,248,10,39.2,60.8
2018-05-11,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-11,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-11,"(""planned parenthood"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-12,"(""planned parenthood"") AND (province:mi)",twitter,85.71,12.93,1.36,147,147,6,50,50
2018-05-12,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-12,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-12,"(""planned parenthood"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-13,"(""planned parenthood"") AND (province:mi)",twitter,42.74,20.82,36.44,365,365,15,61,39
2018-05-13,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-13,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-13,"(""planned parenthood"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-14,"(""planned parenthood"") AND (province:mi)",twitter,61.64,20.55,17.81,146,146,6,62.11,37.89
2018-05-14,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-14,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-05-14,"(""planned parenthood"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-15,"(""planned parenthood"") AND (province:mi)",twitter,70.19,28.57,1.24,161,161,7,62.82,37.18
2018-05-15,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,1,1,0,0,0
2018-05-15,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
