Date,Query,Source,Neutral Sentiment,Negative Sentiment,Positive Sentiment,Total Mentions,Day Mentions,Hour Mentions,Gender_Male,Gender_Female
2018-04-29,"(""policy"" OR ""policies"") AND (""republican"" OR ""republicans"") AND (province:mi)",twitter,68.75,31.25,0,16,16,1,60,40
2018-04-29,"(""progress michigan"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""progress michigan"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""progress michigan"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-29,"(""progress michigan"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-04-29,"(""republicans"" OR ""republican"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""republicans"" OR ""republican"") AND (province:mi)",forum,100,0,0,3,3,0,0,0
2018-04-29,"(""republicans"" OR ""republican"") AND (province:mi)",news,100,0,0,46,46,2,0,0
2018-04-29,"(""republicans"" OR ""republican"") AND (province:mi)",twitter,75.36,20.6,4.04,3056,3056,127,48.61,51.39
2018-04-29,"(""rick snyder"" OR ""governor snyder"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""rick snyder"" OR ""governor snyder"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""rick snyder"" OR ""governor snyder"") AND (province:mi)",news,100,0,0,9,9,0,0,0
2018-04-29,"(""rick snyder"" OR ""governor snyder"") AND (province:mi)",twitter,45.46,48.48,6.06,33,33,1,84.62,15.38
2018-04-29,"(""right to life"" OR ""pro-life"" OR ""pro life"" OR (""aborton"" AND ""murder"")) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""right to life"" OR ""pro-life"" OR ""pro life"" OR (""aborton"" AND ""murder"")) AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-04-29,"(""right to life"" OR ""pro-life"" OR ""pro life"" OR (""aborton"" AND ""murder"")) AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-29,"(""right to life"" OR ""pro-life"" OR ""pro life"" OR (""aborton"" AND ""murder"")) AND (province:mi)",twitter,77.78,17.46,4.76,63,63,3,55.56,44.44
2018-04-29,"(""second amendment"" OR ""2nd amendment"" OR (""gun"" AND ""rights"") OR ""nra"" OR (""gun"" AND ""ownership"") OR (""gun"" AND ""lobby"")) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""second amendment"" OR ""2nd amendment"" OR (""gun"" AND ""rights"") OR ""nra"" OR (""gun"" AND ""ownership"") OR (""gun"" AND ""lobby"")) AND (province:mi)",forum,100,0,0,3,3,0,0,0
2018-04-29,"(""second amendment"" OR ""2nd amendment"" OR (""gun"" AND ""rights"") OR ""nra"" OR (""gun"" AND ""ownership"") OR (""gun"" AND ""lobby"")) AND (province:mi)",news,100,0,0,12,12,1,0,0
2018-04-29,"(""second amendment"" OR ""2nd amendment"" OR (""gun"" AND ""rights"") OR ""nra"" OR (""gun"" AND ""ownership"") OR (""gun"" AND ""lobby"")) AND (province:mi)",twitter,72.19,20.26,7.55,1474,1474,61,47.37,52.63
2018-04-29,"(""senator colbeck"" OR ""patrick colbeck"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""senator colbeck"" OR ""patrick colbeck"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""senator colbeck"" OR ""patrick colbeck"") AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-04-29,"(""senator colbeck"" OR ""patrick colbeck"") AND (province:mi)",twitter,100,0,0,16,16,1,77.78,22.22
2018-04-29,"(""unemployment"" OR ""poverty"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""unemployment"" OR ""poverty"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""unemployment"" OR ""poverty"") AND (province:mi)",news,100,0,0,14,14,1,0,0
2018-04-29,"(""unemployment"" OR ""poverty"") AND (province:mi)",twitter,75.29,14.24,10.47,344,344,14,52.06,47.94
2018-04-29,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-29,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"") AND (province:mi)",twitter,85.72,4.08,10.2,49,49,2,55.56,44.44
2018-04-29,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR (""detroit"" AND ""incinerator"")) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR (""detroit"" AND ""incinerator"")) AND (province:mi)",forum,100,0,0,3,3,0,100,0
2018-04-29,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR (""detroit"" AND ""incinerator"")) AND (province:mi)",news,100,0,0,6,6,0,0,0
2018-04-29,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR (""detroit"" AND ""incinerator"")) AND (province:mi)",twitter,76.79,12.5,10.71,56,56,2,51.61,48.39
2018-04-29,"((""clean"" AND ""water"") OR ((""enbridge"" OR (""line"" AND ""5"") OR ""mackinac"" OR ""oil"" OR ""leak"" OR ""leaks"") AND (""pipeline"" OR ""tunnel"")) OR (""oil"" AND (""spills"" OR ""spill"" OR ""slick"")) OR (""water"" AND ""pollution"") OR ""mercury"" OR ""arsenic"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""clean"" AND ""water"") OR ((""enbridge"" OR (""line"" AND ""5"") OR ""mackinac"" OR ""oil"" OR ""leak"" OR ""leaks"") AND (""pipeline"" OR ""tunnel"")) OR (""oil"" AND (""spills"" OR ""spill"" OR ""slick"")) OR (""water"" AND ""pollution"") OR ""mercury"" OR ""arsenic"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"((""clean"" AND ""water"") OR ((""enbridge"" OR (""line"" AND ""5"") OR ""mackinac"" OR ""oil"" OR ""leak"" OR ""leaks"") AND (""pipeline"" OR ""tunnel"")) OR (""oil"" AND (""spills"" OR ""spill"" OR ""slick"")) OR (""water"" AND ""pollution"") OR ""mercury"" OR ""arsenic"") AND (province:mi)",news,100,0,0,11,11,0,0,0
2018-04-29,"((""clean"" AND ""water"") OR ((""enbridge"" OR (""line"" AND ""5"") OR ""mackinac"" OR ""oil"" OR ""leak"" OR ""leaks"") AND (""pipeline"" OR ""tunnel"")) OR (""oil"" AND (""spills"" OR ""spill"" OR ""slick"")) OR (""water"" AND ""pollution"") OR ""mercury"" OR ""arsenic"") AND (province:mi)",twitter,67.88,6.65,25.47,1594,1594,66,48.09,51.91
2018-04-29,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning""))) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning""))) AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning""))) AND (province:mi)",news,100,0,0,3,3,0,0,0
2018-04-29,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning""))) AND (province:mi)",twitter,67.75,9.54,22.71,1814,1814,76,47.87,52.13
2018-04-29,"((""gun"" AND (""violence"" OR ""crime"")) OR ((""mass"" OR ""school"") AND (""shooting"" OR ""shootings"" OR ""killing"" OR ""killings""))) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""gun"" AND (""violence"" OR ""crime"")) OR ((""mass"" OR ""school"") AND (""shooting"" OR ""shootings"" OR ""killing"" OR ""killings""))) AND (province:mi)",forum,100,0,0,2,2,0,0,0
2018-04-29,"((""gun"" AND (""violence"" OR ""crime"")) OR ((""mass"" OR ""school"") AND (""shooting"" OR ""shootings"" OR ""killing"" OR ""killings""))) AND (province:mi)",news,100,0,0,18,18,1,0,0
2018-04-29,"((""gun"" AND (""violence"" OR ""crime"")) OR ((""mass"" OR ""school"") AND (""shooting"" OR ""shootings"" OR ""killing"" OR ""killings""))) AND (province:mi)",twitter,64.54,27.73,7.73,220,220,9,44.03,55.97
2018-04-29,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization"")) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization"")) AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization"")) AND (province:mi)",news,100,0,0,3,3,0,0,0
2018-04-29,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization"")) AND (province:mi)",twitter,37.44,4.1,58.46,195,195,8,53.33,46.67
2018-04-29,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter""))) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter""))) AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-04-29,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter""))) AND (province:mi)",news,100,0,0,14,14,1,0,0
2018-04-29,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter""))) AND (province:mi)",twitter,56.25,25,18.75,32,32,1,43.48,56.52
2018-04-29,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction"")) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction"")) AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction"")) AND (province:mi)",news,100,0,0,28,28,1,0,0
2018-04-29,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction"")) AND (province:mi)",twitter,80,6.67,13.33,15,15,1,66.67,33.33
2018-04-30,"""bill schuette"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"""bill schuette"" AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-30,"""bill schuette"" AND (province:mi)",news,100,0,0,14,14,1,0,0
2018-04-30,"""bill schuette"" AND (province:mi)",twitter,58,42,0,51,51,2,53.57,46.43
2018-04-30,"""brian calley"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"""brian calley"" AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-04-30,"""brian calley"" AND (province:mi)",news,100,0,0,4,4,0,0,0
2018-04-30,"""brian calley"" AND (province:mi)",twitter,6.25,93.75,0,16,16,1,55.56,44.44
2018-04-30,"""gretchen whitmer"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"""gretchen whitmer"" AND (province:mi)",forum,100,0,0,2,2,0,0,0
2018-04-30,"""gretchen whitmer"" AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-30,"""gretchen whitmer"" AND (province:mi)",twitter,100,0,0,15,15,1,42.86,57.14
2018-04-30,"""shri thanedar"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"""shri thanedar"" AND (province:mi)",forum,100,0,0,2,2,0,0,0
2018-04-30,"""shri thanedar"" AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-04-30,"""shri thanedar"" AND (province:mi)",twitter,78.95,21.05,0,19,19,1,63.64,36.36
2018-04-30,"""trump"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"""trump"" AND (province:mi)",forum,100,0,0,44,44,2,100,0
2018-04-30,"""trump"" AND (province:mi)",news,100,0,0,274,274,11,0,0
2018-04-30,"""trump"" AND (province:mi)",twitter,70.96,24.27,4.77,21916,21916,913,49.37,50.63
2018-04-30,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",forum,100,0,0,3,3,0,0,0
2018-04-30,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",news,100,0,0,2,2,0,0,0
