Campaign,Start,End,Reach
LCV,2018-05-05,2018-05-08,2939393
LCV,2018-05-05,2018-05-09,3148803
LCV,2018-05-05,2018-05-10,3346433
LCV,2018-05-05,2018-05-11,3425794
LCV,2018-05-05,2018-05-12,3425794
LCV,2018-05-05,2018-05-13,3442178
LCV,2018-05-05,2018-05-14,3474434
LCV,2018-05-05,2018-05-15,3527682
LCV,2018-05-05,2018-05-16,3587075
LCV,2018-05-05,2018-05-17,3708939
LCV,2018-05-05,2018-05-18,3741762
LCV,2018-05-05,2018-05-19,3807182
LCV,2018-05-05,2018-05-20,3820894
LCV,2018-05-05,2018-05-21,3826656
LCV,2018-05-05,2018-05-22,3828659
LCV,2018-05-05,2018-05-23,3853980
LCV,2018-05-05,2018-05-24,3907877
LCV,2018-05-05,2018-05-25,3982371
LCV,2018-05-05,2018-05-26,4023219
LCV,2018-05-05,2018-05-27,4067160
LCV,2018-05-05,2018-05-28,4088642
LCV,2018-05-05,2018-05-29,4088642
LCV,2018-05-05,2018-05-30,4096762
LCV,2018-05-05,2018-05-31,4098787
LCV,2018-05-05,2018-08-03,4098787
LCV,2018-05-05,2018-08-04,4098787
LCV,2018-05-05,2018-08-05,4098787
LCV,2018-05-05,2018-08-06,4098787
LCV,2018-05-06,2018-05-06,1105665
LCV,2018-05-06,2018-05-07,1980416
LCV,2018-05-06,2018-05-08,2604033
LCV,2018-05-06,2018-05-09,2963459
LCV,2018-05-06,2018-05-10,3254273
LCV,2018-05-06,2018-05-11,3352066
LCV,2018-05-06,2018-05-12,3352066
LCV,2018-05-06,2018-05-13,3374082
LCV,2018-05-06,2018-05-14,3411970
LCV,2018-05-06,2018-05-15,3472898
LCV,2018-05-06,2018-05-16,3566084
LCV,2018-05-06,2018-05-17,3666955
LCV,2018-05-06,2018-05-18,3700863
LCV,2018-05-06,2018-05-19,3768378
LCV,2018-05-06,2018-05-20,3782109
LCV,2018-05-06,2018-05-21,3787901
LCV,2018-05-06,2018-05-22,3789899
LCV,2018-05-06,2018-05-23,3815189
LCV,2018-05-06,2018-05-24,3872124
LCV,2018-05-06,2018-05-25,3949670
LCV,2018-05-06,2018-05-26,3990508
LCV,2018-05-06,2018-05-27,4034443
LCV,2018-05-06,2018-05-28,4055924
LCV,2018-05-06,2018-05-29,4055924
LCV,2018-05-06,2018-05-30,4064039
LCV,2018-05-06,2018-05-31,4066062
LCV,2018-05-06,2018-08-03,4066062
LCV,2018-05-06,2018-08-04,4066062
LCV,2018-05-06,2018-08-05,4066062
LCV,2018-05-06,2018-08-06,4066062
LCV,2018-05-07,2018-05-07,1078783
LCV,2018-05-07,2018-05-08,1972737
LCV,2018-05-07,2018-05-09,2610179
LCV,2018-05-07,2018-05-10,3069953
LCV,2018-05-07,2018-05-11,3215874
LCV,2018-05-07,2018-05-12,3215874
LCV,2018-05-07,2018-05-13,3244034
LCV,2018-05-07,2018-05-14,3294210
LCV,2018-05-07,2018-05-15,3373058
LCV,2018-05-07,2018-05-16,3494916
LCV,2018-05-07,2018-05-17,3618828
LCV,2018-05-07,2018-05-18,3658988
LCV,2018-05-07,2018-05-19,3732736
LCV,2018-05-07,2018-05-20,3746502
LCV,2018-05-07,2018-05-21,3752350
LCV,2018-05-07,2018-05-22,3754338
LCV,2018-05-07,2018-05-23,3779569
LCV,2018-05-07,2018-05-24,3841560
LCV,2018-05-07,2018-05-25,3923165
LCV,2018-05-07,2018-05-26,3965013
LCV,2018-05-07,2018-05-27,4009960
LCV,2018-05-07,2018-05-28,4031438
LCV,2018-05-07,2018-05-29,4031438
LCV,2018-05-07,2018-05-30,4039546
LCV,2018-05-07,2018-05-31,4042590
LCV,2018-05-07,2018-08-03,4042590
LCV,2018-05-07,2018-08-04,4042590
LCV,2018-05-07,2018-08-05,4042590
LCV,2018-05-07,2018-08-06,4042590
LCV,2018-05-08,2018-05-08,1208578
LCV,2018-05-08,2018-05-09,2109444
LCV,2018-05-08,2018-05-10,2762754
LCV,2018-05-08,2018-05-11,2974723
LCV,2018-05-08,2018-05-12,2974723
LCV,2018-05-08,2018-05-13,3006467
LCV,2018-05-08,2018-05-14,3074563
LCV,2018-05-08,2018-05-15,3186178
LCV,2018-05-08,2018-05-16,3352068
LCV,2018-05-08,2018-05-17,3523085
LCV,2018-05-08,2018-05-18,3567968
LCV,2018-05-08,2018-05-19,3640776
LCV,2018-05-08,2018-05-20,3655602
LCV,2018-05-08,2018-05-21,3661504
LCV,2018-05-08,2018-05-22,3663479
LCV,2018-05-08,2018-05-23,3692741
LCV,2018-05-08,2018-05-24,3758756
LCV,2018-05-08,2018-05-25,3846467
LCV,2018-05-08,2018-05-26,3890348
LCV,2018-05-08,2018-05-27,3936308
LCV,2018-05-08,2018-05-28,3957783
LCV,2018-05-08,2018-05-29,3957783
LCV,2018-05-08,2018-05-30,3966907
LCV,2018-05-08,2018-05-31,3969949
LCV,2018-05-08,2018-08-03,3969949
LCV,2018-05-08,2018-08-04,3969949
LCV,2018-05-08,2018-08-05,3969949
LCV,2018-05-08,2018-08-06,3969949
LCV,2018-05-09,2018-05-09,1211395
LCV,2018-05-09,2018-05-10,2120705
LCV,2018-05-09,2018-05-11,2416130
LCV,2018-05-09,2018-05-12,2416130
LCV,2018-05-09,2018-05-13,2550274
LCV,2018-05-09,2018-05-14,2689538
LCV,2018-05-09,2018-05-15,2887170
LCV,2018-05-09,2018-05-16,3142660
LCV,2018-05-09,2018-05-17,3380750
LCV,2018-05-09,2018-05-18,3437046
LCV,2018-05-09,2018-05-19,3520212
LCV,2018-05-09,2018-05-20,3537132
LCV,2018-05-09,2018-05-21,3543617
LCV,2018-05-09,2018-05-22,3549162
LCV,2018-05-09,2018-05-23,3583959
LCV,2018-05-09,2018-05-24,3649356
LCV,2018-05-09,2018-05-25,3741111
LCV,2018-05-09,2018-05-26,3787021
LCV,2018-05-09,2018-05-27,3835015
LCV,2018-05-09,2018-05-28,3856487
LCV,2018-05-09,2018-05-29,3856487
LCV,2018-05-09,2018-05-30,3865601
LCV,2018-05-09,2018-05-31,3868640
LCV,2018-05-09,2018-08-03,3868640
LCV,2018-05-09,2018-08-04,3868640
LCV,2018-05-09,2018-08-05,3868640
LCV,2018-05-09,2018-08-06,3868640
LCV,2018-05-10,2018-05-10,1131006
LCV,2018-05-10,2018-05-11,1547776
LCV,2018-05-10,2018-05-12,1547776
LCV,2018-05-10,2018-05-13,1880576
LCV,2018-05-10,2018-05-14,2189312
LCV,2018-05-10,2018-05-15,2547200
LCV,2018-05-10,2018-05-16,2925059
LCV,2018-05-10,2018-05-17,3244559
LCV,2018-05-10,2018-05-18,3314379
LCV,2018-05-10,2018-05-19,3404360
LCV,2018-05-10,2018-05-20,3424927
LCV,2018-05-10,2018-05-21,3432018
LCV,2018-05-10,2018-05-22,3438048
LCV,2018-05-10,2018-05-23,3475256
LCV,2018-05-10,2018-05-24,3543582
LCV,2018-05-10,2018-05-25,3635777
LCV,2018-05-10,2018-05-26,3681662
LCV,2018-05-10,2018-05-27,3732712
LCV,2018-05-10,2018-05-28,3757253
LCV,2018-05-10,2018-05-29,3757253
LCV,2018-05-10,2018-05-30,3768405
LCV,2018-05-10,2018-05-31,3772465
LCV,2018-05-10,2018-08-03,3772465
LCV,2018-05-10,2018-08-04,3772465
LCV,2018-05-10,2018-08-05,3772465
LCV,2018-05-10,2018-08-06,3772465
LCV,2018-05-11,2018-05-11,556290
LCV,2018-05-11,2018-05-12,556290
LCV,2018-05-11,2018-05-13,1041154
LCV,2018-05-11,2018-05-14,1499137
LCV,2018-05-11,2018-05-15,2052609
LCV,2018-05-11,2018-05-16,2591236
LCV,2018-05-11,2018-05-17,3026450
LCV,2018-05-11,2018-05-18,3113896
LCV,2018-05-11,2018-05-19,3219401
LCV,2018-05-11,2018-05-20,3241050
LCV,2018-05-11,2018-05-21,3250278
LCV,2018-05-11,2018-05-22,3256784
LCV,2018-05-11,2018-05-23,3299448
LCV,2018-05-11,2018-05-24,3381449
LCV,2018-05-11,2018-05-25,3475621
LCV,2018-05-11,2018-05-26,3523531
LCV,2018-05-11,2018-05-27,3579175
LCV,2018-05-11,2018-05-28,3612934
LCV,2018-05-11,2018-05-29,3612934
LCV,2018-05-11,2018-05-30,3624074
LCV,2018-05-11,2018-05-31,3628131
LCV,2018-05-11,2018-08-03,3628131
LCV,2018-05-11,2018-08-04,3628131
