Date,Category ,Summary,Link 
2018-05-28,Michigan Gubernatorial Race,"Dates for upcoming debates.
May 31st: Top three candidates from both parties debate (live streamed on the Detroit Regional Chamber's website)
June 20th: Democratic candidates debate (WOOD-TV)
June 28th: Republican candidates debate (WDIV-TV)
July 19th: Democratic candidates debate (WDIV-TV)
","https://www.freep.com/story/news/politics/2018/05/24/michigan-governor-debates/638777002/
"
2018-05-29,LCV ,"Line 5 is not on the agenda for the Mackinac Policy Conference starting today, angering environmental advocates. The Great Lakes Business Network (a group concerned over line 5) is planning a news conference tomorrow morning to release a new study ",https://www.freep.com/story/news/local/michigan/2018/05/29/enbridge-line-5-pipeline-straits-mackinac/644043002/
2018-05-29,LCV ,Members of Oil and Water Don't Mix are planning a protest for today as people arrive for the Mackinac Policy Conference. ,https://www.publicnewsservice.org/2018-05-29/environment/protests-set-at-mackinac-policy-conference/a62697-1
2018-05-29,Michigan Gubernatorial Race,"Rep: Schuette 
Article written by Schuette detailing how he will cut taxes. Specifically attacks Calley, contrasting their tax approaches and details plans to bring up the issue of taxes at the debate this week.  ",http://www.hollandsentinel.com/news/20180528/bill-schuette-clear-choice-on-tax-cuts
2018-05-29,Progress Michigan ,Memorial day weekend involved multiple shootings in Detroit with a total of 8 fatalities. May reignite debate over gun issues. ,https://www.detroitnews.com/story/news/local/detroit-city/2018/05/29/greektown-shooting-detroit-memorial-day/650447002/
2018-05-29,Progress Michigan ,"Infrastructure and road repairs is a recurring issue throughout Michigan. Recent survey shows 89% of respondents think Michigan's road and bridge quality is ""fair or poor"", but over 60% would not be willing to pay more in taxes or fees to support state transportation improvements. ",https://www.freep.com/story/news/local/michigan/2018/05/29/michigan-roads/650621002/
2018-05-29,Michigan Gubernatorial Race,"Michigan Campaign Finance Network reports that of the 30 largest legislative leadership political action committees, 24 of them are Republican. Collectively these 30 PACs have raise $3.4 million, with Republicans out fundraising Democrats by a 6 to 1 margin. ",http://michiganradio.org/post/campaign-cash-flowing-republican-leadership-pacs
2018-05-30,LCV,"Recent study states Line 5 puts Michigan at risk for an environmental disaster but has evolved into what is mostly a shortcut for a Canadian company to move Canadian oil to Canadian refineries. i.e. Canada receives the economic benefits of the line, while Michigan receives very few. ",https://www.freep.com/story/news/local/michigan/2018/05/30/enbridge-canada-line-5-michigan-risk/652405002/
2018-05-30,Michigan Gubernatorial Race,"Dem: Whitmer and Thanedar 
Whitmer and Thanedar roll out economic plans. Thanedar wants to eliminate income taxes for low-income residents but raise taxes $3.6 billion on corporations and wealthy individuals. Whitmer calls for $100 million a year in new spending to create new college scholarships and skills training programs.",https://www.detroitnews.com/story/news/local/michigan/2018/05/29/whitmer-thanedar-mackinac-economic-plans/652792002/
2018-05-30,Michigan Gubernatorial Race,"Rep: Schuette
Schuette talked to voters about various issues at his annual barbecue in Presque Isle yesterday. Topics included high auto insurance rates and quality of Michigan education and spending. Schuette stressed his plan to cut taxes. ",http://www.uppermichiganssource.com/content/news/Bill-Schuette-continues-UP-tour-with-annual-BBQ-484005931.html
2018-05-30,Planned Parenthood,The Supreme Court Decision yesterday rejected Planned Parenthood's challenge to an Arkansaw abortion law that made accessing medication abortions extremely difficult. Planned Parenthood will continue their fight against the law. ,https://www.theguardian.com/us-news/2018/may/29/supreme-court-arkansas-abortion-pill-rejected-planned-parenthood
2018-05-30,LCV,A settlement for Flint children over the water crisis is expected to be resolved this summer. So far a judge has a approved a partial settlement giving universal screenings for learning disabilities for all Flint children affected by lead-contaminated water and creating a neurodevelopmental center for deeper assessments. ,https://www.detroitnews.com/story/news/michigan/flint-water-crisis/2018/05/29/settlement-possible-flint-kids-over-water-impact/652697002/
2018-05-31,Michigan Gubernatorial Race,"Dem: El-Sayed
Interviewed at the Mackinac Policy Conference , thinks this conference is what its wrong with politics - ""folks in power get together and talk about how to keep power."" Also touches on his universal healthcare plan.",https://www.clickondetroit.com/michigan-elections/abdul-el-sayed-says-mackinac-policy-conference-exactly-what-is-wrong-with-politics
2018-05-31,Michigan Gubernatorial Race,"Dem: Whitmer
Americans For Prosperity, a conservative advocacy group backed by the Koch brothers, is running an online ad targeting Whitmer, claiming she has supported tax increases that led to the loss of hundreds of thousands of jobs in Michigan. The Bridge Truth Squad calls the ad ""half-accurate"" - Whitmer has supported tax increases but the ad is misleading in its insineuation that tax increases cause Michigan's mass job loss. ",https://www.bridgemi.com/michigan-truth-squad/truth-squad-koch-brothers-group-attacks-gretchen-whitmers-tax-votes
2018-05-31,Michigan Gubernatorial Race,"Dem: Thanedar
Thanedar has released his 2015 and 2016 tax returns and other financial details. He has assets of approximately $30 million, most likely making him the wealthiest candidate in the race. 
",https://www.bridgemi.com/public-sector/democrat-shri-thanedar-releases-tax-returns-michigan-governor-race
2018-05-31,Progress Michigan ,"More than 100 low-income voters from Detroit and Flint plan to stage a ""die-in"" protest at Schuette's office today at 12:30. They are protesting Schuette's opposition to thet state's Medicaide expansion",https://michronicleonline.com/2018/05/31/medicaid-recipients-from-detroit-flint-blast-schuettes-plan-to-cut-healthcare/
