Date,Query,postdate,Content,Estimated Retweets in MI,Source
2018-06-06,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR ""incinerator"" OR ""emissions"" OR ""greenhouse emissions"" OR (""detroit"" AND ""incinerator""))",2018-06-06T07:11:32-04:00,"@_A__Dub On air, Hewitt:
1/ Praises Pruitt when son works at EPA.
2/ Praises Clean Water Act weakening when his oil… https://t.co/gCGZdY6Pqb",2,http://twitter.com/peoplerawful/statuses/1004319876239056896
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T07:22:52-04:00,Michigan voters will decide whether to legalize  recreational use of marijuana. https://t.co/YbZyImPUYh,4,http://twitter.com/crainsdetroit/statuses/1004322728030203905
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T07:22:52-04:00,Michigan voters will decide whether to legalize  recreational use of marijuana. https://t.co/YbZyImPUYh,4,http://twitter.com/crainsdetroit/statuses/1004322728030203905
2018-06-06,"(""democrats"" OR ""democrat"")",2018-06-06T07:36:29-04:00,Kanye vocally supports Trump and then refuses to back down despite the Democrat mob threatening manufactured boycot… https://t.co/wVrywWTdoH,38,http://twitter.com/charliekirk11/statuses/1004326153526509568
2018-06-06,"(""democrats"" OR ""democrat"")",2018-06-06T08:24:40-04:00,"As a Vice Chair of the @DCCC, I am ecstatic that California Democrats advanced a Dem in every single targeted Calif… https://t.co/SN97VMot6s",34,http://twitter.com/tedlieu/statuses/1004338278831656960
2018-06-06,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"" OR ""immigration"")",2018-06-06T08:39:21-04:00,A pizza guy made a delivery to a military base in Brooklyn. A military police officer at the base asked him for his… https://t.co/GLJQUogWb6,83,http://twitter.com/joshnathankazis/statuses/1004341975200526337
2018-06-06,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"" OR ""immigration"")",2018-06-06T08:39:21-04:00,A pizza guy made a delivery to a military base in Brooklyn. A military police officer at the base asked him for his… https://t.co/GLJQUogWb6,83,http://twitter.com/joshnathankazis/statuses/1004341975200526337
2018-06-06,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR ""incinerator"" OR ""emissions"" OR ""greenhouse emissions"" OR (""detroit"" AND ""incinerator""))",2018-06-06T08:54:40-04:00,"Asthma is a common long-term disease in children, but adults have asthma, too. #kNOwAsthma https://t.co/NCaBJcdfo5 https://t.co/cjrbw5MOTq",3,http://twitter.com/CDCasthma/statuses/1004345831724650496
2018-06-06,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR ""incinerator"" OR ""emissions"" OR ""greenhouse emissions"" OR (""detroit"" AND ""incinerator""))",2018-06-06T08:54:40-04:00,"Asthma is a common long-term disease in children, but adults have asthma, too. #kNOwAsthma https://t.co/NCaBJcdfo5 https://t.co/cjrbw5MOTq",3,http://twitter.com/CDCasthma/statuses/1004345831724650496
2018-06-06,"(""republicans"" OR ""republican"")",2018-06-06T09:16:34-04:00,Great night for Republicans! Congratulations to John Cox on a really big number in California. He can win. Even Fak… https://t.co/MDk7LJgCin,81,http://twitter.com/realDonaldTrump/statuses/1004351340041199616
2018-06-06,"""trump""",2018-06-06T09:16:34-04:00,Great night for Republicans! Congratulations to John Cox on a really big number in California. He can win. Even Fak… https://t.co/MDk7LJgCin,21,http://twitter.com/realDonaldTrump/statuses/1004351340041199616
2018-06-06,"""trump""",2018-06-06T09:16:57-04:00,"Happy 2nd anniversary to this tweet. 

President Trump hasn’t held a full solo news conference in 16 months — since… https://t.co/spe2B9QM3N",32,http://twitter.com/jaketapper/statuses/1004351439517470722
2018-06-06,"(""environmental"" OR ""global warming"" OR ""pollution"" OR (""environmental"" AND (""laws"" OR ""regulations"" OR ""issues"")))",2018-06-06T09:22:01-04:00,"Greenpeace sends a ""used mattress"" to the EPA for Pruitt. At no charge. https://t.co/LxdSNRo2nD",6,http://twitter.com/EricLiptonNYT/statuses/1004352712765517825
2018-06-06,"(""environmental"" OR ""global warming"" OR ""pollution"" OR (""environmental"" AND (""laws"" OR ""regulations"" OR ""issues"")))",2018-06-06T09:22:01-04:00,"Greenpeace sends a ""used mattress"" to the EPA for Pruitt. At no charge. https://t.co/LxdSNRo2nD",6,http://twitter.com/EricLiptonNYT/statuses/1004352712765517825
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T09:22:47-04:00,"Should Recreational Marijuana Use Be Legal In Michigan?

@MrJustinBarclay is reading your comments on air.… https://t.co/2k7UeP9IgK",4,http://twitter.com/WOODRADIO/statuses/1004352907511287809
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T09:22:47-04:00,"Should Recreational Marijuana Use Be Legal In Michigan?

@MrJustinBarclay is reading your comments on air.… https://t.co/2k7UeP9IgK",4,http://twitter.com/WOODRADIO/statuses/1004352907511287809
